,Player,Rk,Age,G,MP,PER,TS%,3PAr,FTr,ORB%,DRB%,TRB%,AST%,STL%,BLK%,TOV%,USG%,Column1,OWS,DWS,WS,WS/48,OBPM,DBPM,BPM,VORP,Salary,Offensive Archetype,Pos,LEBRON,O-LEBRON,D-LEBRON,Wins Added,BOXLEBRON,BOXOLEBRON,BOXDLEBRON
228,Kelly Olynyk,375.0,29.0,40,1121,15.9,0.6213333333333334,0.5516666666666666,0.19766666666666666,4.433333333333334,22.066666666666666,13.200000000000001,13.566666666666665,1.6666666666666667,2.0,13.833333333333334,18.900000000000002,,1.0,1.5333333333333332,2.566666666666667,0.12000000000000001,0.03333333333333336,0.7000000000000001,0.7333333333333333,0.6333333333333333,12198243.0,Stretch Big,C-PF,1.83,0.52,1.31,4.3,0.43,-0.54,0.96
229,Kemba Walker,493.0,30.0,38,1198,16.6,0.546,0.529,0.202,1.0,12.8,6.9,24.2,1.7,0.9,11.2,25.7,,1.5,1.1,2.6,0.103,1.9,-0.6,1.3,1.0,34379100.0,Primary Ball Handler,PG,1.33,1.65,-0.32,2.8,1.63,2.22,-0.59
230,Kendrick Nunn,361.0,25.0,47,1362,13.8,0.583,0.497,0.096,1.4,11.0,6.3,15.6,1.7,0.9,10.8,20.9,,0.8,1.4,2.3,0.081,-0.5,0.0,-0.5,0.5,1663861.0,Secondary Ball Handler,PG,-0.93,-0.38,-0.55,1.1,-0.9,-0.62,-0.28
231,Kenrich Williams,510.0,26.0,60,1274,13.7,0.594,0.283,0.16,6.5,14.2,10.3,15.7,1.7,1.0,14.2,14.9,,1.5,1.1,2.6,0.099,-1.2,0.6,-0.5,0.5,2000000.0,Athletic Finisher,PF,-1.96,-1.58,-0.38,0.3,-2.59,-2.18,-0.41
232,Kent Bazemore,36.0,31.0,57,1032,11.1,0.566,0.468,0.211,2.5,15.5,9.0,12.1,2.5,2.3,16.4,16.6,,-0.1,1.5,1.4,0.067,-2.6,1.3,-1.3,0.2,2320044.0,Stationary Shooter,SF,0.18,-1.42,1.6,1.6,-1.44,-2.05,0.61
233,Kevin Durant,135.0,32.0,24,784,26.2,0.674,0.321,0.411,1.3,20.7,11.4,26.2,0.9,3.5,15.5,31.8,,2.4,0.8,3.2,0.196,6.1,0.1,6.2,1.6,39058950.0,Shot Creator,PF,2.71,2.95,-0.25,2.6,3.31,3.3,0.01
234,Kevin Huerter,228.0,22.0,60,1884,12.4,0.546,0.536,0.09,2.0,9.7,5.9,16.4,1.9,0.7,9.5,17.0,,1.9,1.4,3.3,0.083,-0.6,0.1,-0.4,0.8,2761920.0,Movement Shooter,SG,-0.98,0.15,-1.12,1.6,-0.35,0.16,-0.5
235,Kevin Love,294.0,32.0,16,364,15.0,0.535,0.638,0.225,3.6,29.0,16.0,15.6,1.1,0.5,10.7,23.6,,0.1,0.4,0.5,0.069,0.8,-1.4,-0.5,0.1,1300000.0,Versatile Big,PF,2.07,1.65,0.42,0.8,1.62,1.31,0.32
236,Kevon Looney,291.0,24.0,49,850,12.6,0.588,0.11,0.234,11.5,17.7,14.6,14.5,1.0,1.9,16.7,9.6,,1.5,1.0,2.5,0.142,-1.6,0.6,-1.0,0.2,4821429.0,Roll + Cut Big,C,-0.66,-1.26,0.6,0.8,-1.45,-1.66,0.21
237,Khem Birch,46.0,28.0,37,757,14.66666666666667,0.5459999999999999,0.12200000000000001,0.37800000000000006,11.833333333333334,14.800000000000002,13.233333333333333,7.3,1.5,3.766666666666667,9.266666666666666,12.700000000000001,,1.0666666666666667,0.7333333333333334,1.8,0.118,-1.3333333333333333,-0.26666666666666666,-1.5999999999999996,0.03333333333333333,3425463.0,Roll + Cut Big,C,-2.17,-2.05,-0.12,0.1,-1.66,-1.78,0.12
