,Player,TRB,AST,STL,BLK,PTS
287,Justin Holiday,3.7,1.6,1.2,0.4,10.4
316,Justin Jackson,2.2,1.5,0.5,0.1,7.2
318,Justin James,0.4,0.6,0.1,0,1.8
496,Justin Patton,3.8,1.1,0.9,1.1,5.4
549,Justin Robinson,0.8,1,0.3,0,2.3
672,Justise Winslow,4.3,1.9,0.7,0.5,6.7
468,Jusuf Nurkic,8.3,3.4,1,1,10.2
446,Juwan Morgan,1,0.3,0.2,0,1.2
398,Karim Mane,1.4,0.4,0,0.2,1.1
619,Karl-Anthony Towns,10.8,4.5,0.7,1.3,24.8
380,Kawhi Leonard,6.7,5.1,1.7,0.4,25.7
40,Keita Bates-Diop,1.1,0.4,0.4,0.1,2.2
406,Kelan Martin,1.3,0.3,0.2,0.1,2.4
331,Keldon Johnson,6.4,1.8,0.6,0.4,12.9
62,Keljin Blevins,0.4,0.4,0.2,0,0.4
483,Kelly Olynyk,6.6,2.4,1,0.6,12.5
484,Kelly Olynyk,6.1,2.1,0.9,0.6,10
485,Kelly Olynyk,8,3,1.1,0.5,18.5
489,Kelly Oubre,6,1.3,1,0.8,15.4
642,Kemba Walker,3.9,5,1.1,0.3,18.2
466,Kendrick Nunn,3.2,2.8,1,0.3,14
661,Kenrich Williams,4.2,2.2,0.7,0.2,7.6
43,Kent Bazemore,3.1,1.6,1,0.5,6.7
105,Kentavious Caldwell-Pope,2.7,1.6,0.8,0.3,9.7
407,Kenyon Martin,4.6,0.6,0.6,0.9,7.2
177,Kevin Durant,6.8,5.1,0.7,1.3,27.1
298,Kevin Huerter,3.3,3.5,1.2,0.2,12.3
357,Kevin Knox,1.6,0.5,0.3,0.2,4.2
391,Kevin Love,6.4,2.3,0.5,0.1,11.7
513,Kevin Porter,3.8,6.2,0.8,0.3,15.2
388,Kevon Looney,4.8,1.9,0.4,0.4,3.9
53,Khem Birch,5.4,1.1,0.7,0.7,6
54,Khem Birch,5.1,1.1,0.7,0.6,5.3
55,Khem Birch,7.1,1.1,0.8,1.4,9.8
436,Khris Middleton,5.9,5.4,1.1,0.2,20
273,Killian Hayes,2.2,4.4,1.1,0.4,5.7
613,Killian Tillie,1.2,0.3,0.4,0.5,2.6
385,Kira Lewis,1.2,2.3,0.7,0.2,6.4
18,Kostas Antetokounmpo,1.4,0.1,0.1,0.3,0.9
176,Kris Dunn,1,0,1,1,0
519,Kristaps Porzingis,9.3,1.6,0.5,1.5,20.4
16,Kyle Anderson,6,3.5,1.2,0.8,12.2
241,Kyle Guy,1,0.9,0.2,0,2.9
367,Kyle Kuzma,6.4,1.7,0.5,0.6,12.9
392,Kyle Lowry,5.5,7.3,1,0.3,16.7
