,Player,TRB,AST,STL,BLK,PTS
148,Anthony Davis,8,3,1.2,1.7,21.4
178,Anthony Edwards,4.6,2.7,1.2,0.4,18.3
220,Anthony Gill,2,0.3,0.3,0.1,2.2
368,Anthony Lamb,2.3,0.4,0.1,0.1,3.6
615,Anthony Tolliver,2,0.5,0.8,0.5,1.5
87,Armoni Brooks,3.6,1.3,0.4,0.1,7.5
42,Aron Baynes,5.1,0.9,0.3,0.4,5.8
243,Ashton Hagans,0,0,0,0,0
542,Austin Rivers,2.3,2,0.5,0.1,7.2
543,Austin Rivers,2.2,2,0.6,0,7.3
544,Austin Rivers,2.5,2,0.3,0.5,6.5
72,Avery Bradley,2.1,1.7,0.8,0.1,6.6
73,Avery Bradley,1.8,1.4,0.7,0.1,8.5
74,Avery Bradley,2.3,1.9,0.8,0.1,5.3
618,Axel Toupane,0.8,0.5,0.3,0.4,1.8
3,Bam Adebayo,9.1,5.3,1.1,1.1,19.1
427,Ben McLemore,2,0.8,0.5,0.1,7.9
428,Ben McLemore,2.1,0.9,0.6,0.1,7.4
429,Ben McLemore,1.7,0.5,0.1,0.3,9.2
576,Ben Simmons,7.6,7,1.6,0.7,14.8
57,Bismack Biyombo,5.3,1.3,0.3,1.1,5.2
238,Blake Griffin,5,3.2,0.8,0.3,11.2
239,Blake Griffin,5.2,3.9,0.7,0.1,12.3
240,Blake Griffin,4.7,2.4,0.9,0.6,9.8
401,Boban Marjanovic,4.2,0.3,0,0.2,5
518,Bobby Portis,6.9,1.1,0.7,0.4,11.4
63,Bogdan Bogdanovic,3.7,3.2,1,0.2,15.2
64,Bojan Bogdanovic,3.8,1.9,0.6,0,15.6
65,Bol Bol,0.7,0.3,0.1,0.4,2.4
645,Brad Wanamaker,1.7,2.9,0.7,0.2,5.6
646,Brad Wanamaker,1.7,2.5,0.7,0.2,4.7
647,Brad Wanamaker,1.6,3.7,0.9,0.3,7.7
45,Bradley Beal,4.8,4.6,1.2,0.4,31.4
123,Brandon Clarke,5.4,1.7,1,0.9,10.7
223,Brandon Goodwin,1.5,2,0.3,0,5
308,Brandon Ingram,5,4.9,0.7,0.6,24.2
71,Brian Bowen,0.5,0,0,0,0.5
603,Brodric Thomas,1,0.7,0.4,0.2,2.9
604,Brodric Thomas,1,1,0.3,0.3,2.5
605,Brodric Thomas,0.9,0.6,0.4,0.2,2.9
389,Brook Lopez,4.9,0.7,0.6,1.4,11.8
89,Bruce Brown,5.2,1.6,0.9,0.4,8.8
103,Bruno Caboclo,2.3,0.2,0,0.3,2.8
191,Bruno Fernando,2.3,0.3,0.1,0.1,1.3
198,Bryn Forbes,1.5,0.6,0.3,0,9.6
278,Buddy Hield,4.5,3.2,0.8,0.4,16.7
404,Caleb Martin,2.8,1.2,0.7,0.2,4.9
532,Cam Reddish,4,1.3,1.3,0.3,11.2
327,Cameron Johnson,3.2,1.5,0.6,0.3,9.9
498,Cameron Payne,2.3,3.6,0.6,0.2,7.3
538,Cameron Reynolds,0,0,0,0,0.7
382,Caris LeVert,4.5,4.7,1.4,0.6,18.6
383,Caris LeVert,4.3,6,1.1,0.5,18.5
384,Caris LeVert,4.6,4,1.6,0.6,18.7
20,Carmelo Anthony,3.2,1.6,0.7,0.6,13.5
179,Carsen Edwards,0.9,0.4,0.2,0,3.9
588,Cassius Stanley,0.7,0.1,0,0.1,1.3
673,Cassius Winston,0.5,0.6,0.1,0.1,2.2
487,Cedi Osman,3.3,2.7,0.9,0.2,9.6
301,Chandler Hutchison,3.4,0.6,0.3,0,3.8
302,Chandler Hutchison,2.9,0.6,0.1,0,1.9
303,Chandler Hutchison,3.9,0.7,0.4,0,5.7
90,Charlie Brown,0,0,2,0,5
530,Chasson Randle,1.7,1.9,0.5,0.1,5.7
435,Chimezie Metu,2.5,0.6,0.3,0.5,5.1
70,Chris Boucher,6.7,1.1,0.6,1.9,13.6
118,Chris Chiozza,1.1,3,0.3,0.3,4
497,Chris Paul,4.7,8.7,1.4,0.2,16.1
573,Chris Silva,1.8,0.4,0.1,0.4,2.1
574,Chris Silva,2.3,0.5,0.1,0.5,2.7
575,Chris Silva,0.5,0,0,0.3,0.5
675,Christian Wood,9.8,1.6,0.8,1.2,21.1
474,Chuma Okeke,4,2.2,1,0.5,7.5
180,CJ Elleby,1,0.2,0.3,0.1,2.4
415,CJ McCollum,4.1,4.8,1.1,0.5,23.2
109,Clint Capela,14.7,0.8,0.7,2.1,15.5
655,Coby White,4.1,4.6,0.6,0.2,14.8
405,Cody Martin,3,1.6,0.7,0.2,4.1
682,Cody Zeller,6.9,1.9,0.6,0.4,8.9
21,Cole Anthony,4.5,4.4,0.6,0.5,11.8
569,Collin Sexton,3,4.1,1.1,0.1,24.5
346,Cory Joseph,2.5,3.2,1,0.3,8
347,Cory Joseph,2.3,2.5,0.9,0.2,6.6
348,Cory Joseph,3.1,5.4,1.2,0.4,11.9
189,Cristiano Felício,1.1,0.6,0.2,0,1.1
25,D.J. Augustin,1.6,3.3,0.5,0,7
26,D.J. Augustin,1.4,3,0.5,0,6.1
27,D.J. Augustin,2.3,4,0.4,0,9.2
668,D.J. Wilson,2.8,0.6,0.3,0.5,4.9
669,D.J. Wilson,2.1,0.3,0.1,0.3,3.6
670,D.J. Wilson,3.3,0.9,0.4,0.5,5.7
49,Davis Bertans,3.1,0.9,0.6,0.3,11.6
410,Dakota Mathias,0.9,1.6,0.1,0.4,6
335,Damian Jones,2.4,0.3,0.2,0.5,3.1
336,Damian Jones,1.3,0.3,0.1,0.4,1.6
337,Damian Jones,3.3,0.1,0.1,0.9,5.4
338,Damian Jones,3.7,0.7,0.5,0.5,3.8
386,Damian Lillard,4.2,7.5,0.9,0.3,28.3
375,Damion Lee,3.2,1.3,0.7,0.1,6.5
167,Damyean Dotson,2.1,2.1,0.4,0.1,6.6
561,D'Angelo Russell,2.5,5.2,1,0.4,19.4
208,Daniel Gafford,4.1,0.5,0.5,1.4,6.4
209,Daniel Gafford,3.3,0.5,0.4,1.1,4.7
210,Daniel Gafford,6,0.5,0.8,2.2,10.8
488,Daniel Oturu,1.2,0.3,0,0.1,1.5
600,Daniel Theis,5.3,1.7,0.6,0.9,9.6
601,Daniel Theis,5.2,1.6,0.6,1,9.5
602,Daniel Theis,5.4,2.1,0.5,0.7,9.9
211,Danilo Gallinari,4,1.4,0.5,0.2,13.5
230,Danny Green,3.7,1.7,1.3,0.8,9.6
186,Dante Exum,2.8,2.2,0.7,0.3,3.8
295,Danuel House,3.8,1.8,0.6,0.5,8.9
321,DaQuan Jeffries,1.8,0.4,0.3,0.3,3.1
322,DaQuan Jeffries,1.6,0.3,0.4,0.2,3.5
323,DaQuan Jeffries,2.2,0.5,0.2,0.5,2
565,Dario Šarić,4,1.3,0.6,0.1,9.1
44,Darius Bazley,7.4,1.6,0.6,0.5,13.4
213,Darius Garland,2.5,6.2,1.2,0.1,17.7
437,Darius Miller,1.3,1.2,0.7,0.3,4.1
469,David Nwaba,3.9,1,1,0.7,9.2
203,De'Aaron Fox,3.5,7.2,1.5,0.5,25.2
638,Dean Wade,3,1.1,0.4,0.4,5.1
29,Deandre Ayton,10.7,1.4,0.6,1.1,15
48,DeAndre' Bembry,2.6,1.9,0.8,0.3,4.9
300,De'Andre Hunter,5.1,2.1,0.9,0.5,16
345,DeAndre Jordan,7.5,1.7,0.3,1.2,7.7
433,De'Anthony Melton,3.2,2.7,1.3,0.5,10.1
578,Deividas Sirvydis,0.5,0.1,0.1,0,1.1
451,Dejounte Murray,7.1,5.2,1.6,0.1,15.6
677,Delon Wright,4.1,4.2,1.5,0.4,9.6
678,Delon Wright,4.6,5,1.6,0.5,10.4
679,Delon Wright,3,2.3,1.2,0.1,7.8
155,DeMar DeRozan,4.4,7.2,0.9,0.3,21.5
136,DeMarcus Cousins,7,2.1,0.7,0.6,9
137,DeMarcus Cousins,7.6,2.4,0.8,0.7,9.6
138,DeMarcus Cousins,5.2,1.2,0.3,0.3,7.3
28,Deni Avdija,4.9,1.2,0.6,0.3,6.3
567,Dennis Schroder,3.5,5.8,1.2,0.2,15.7
581,Dennis Smith,2.4,3.3,1,0.6,6.7
582,Dennis Smith,0.7,1,1,0,3
583,Dennis Smith,2.7,3.7,1,0.7,7.3
629,Denzel Valentine,3.4,1.6,0.5,0.1,6.8
188,Derrick Favors,5.5,0.7,0.5,1,5.4
339,Derrick Jones,3.7,0.8,0.7,1,7
555,Derrick Rose,2.4,4.1,1,0.4,14
556,Derrick Rose,1.9,4.2,1.2,0.3,14.2
557,Derrick Rose,2.6,4.1,0.9,0.5,13.9
656,Derrick White,3,3.5,0.7,1,15.4
36,Desmond Bane,3,1.7,0.6,0.2,9.1
69,Devin Booker,4.1,4.5,0.9,0.3,25.5
108,Devin Cannady,0.6,0.1,0.6,0.1,4.3
632,Devin Vassell,2.6,0.9,0.8,0.3,4.9
168,Devon Dotson,0.5,0.3,0.2,0,1
104,Devontae Cacok,1.8,0.1,0.3,0.2,2.2
228,Devonte' Graham,2.7,5.4,0.9,0.1,14.4
153,Dewayne Dedmon,5.4,0.4,0.7,0.6,7
88,Dillon Brooks,3,2.3,1.2,0.4,16.7
562,Domantas Sabonis,11.6,6,1.1,0.5,19.9
441,Donovan Mitchell,4.4,5.2,1,0.3,26.4
245,Donta Hall,3.8,1.2,0.6,1.2,4.2
164,Donte DiVincenzo,5.5,3.1,1.2,0.2,10.3
195,Dorian Finney-Smith,5.6,1.6,0.9,0.4,9.7
419,Doug McDermott,3.6,1.3,0.3,0.1,13.1
231,Draymond Green,6.8,8.7,1.6,0.8,6.5
185,Drew Eubanks,4.3,0.9,0.4,1,5.6
546,Duncan Robinson,3.5,1.8,0.5,0.2,13
31,Dwayne Bacon,3,1.2,0.6,0.1,10.6
296,Dwight Howard,8.4,0.8,0.5,0.9,6.8
520,Dwight Powell,3.6,0.8,0.6,0.3,5.2
671,Dylan Windler,3.5,1.1,0.6,0.4,5.2
149,Ed Davis,5.1,1,0.6,0.6,2.2
592,Edmond Sumner,1.8,0.9,0.6,0.2,7.3
499,Elfrid Payton,3.6,3.4,0.8,0.2,11.2
299,Elijah Hughes,0.5,0.3,0.1,0.1,1.9
353,Enes Kanter,11.5,1.3,0.5,0.7,11.9
61,Eric Bledsoe,3.4,3.7,0.8,0.3,11.9
227,Eric Gordon,2.1,2.6,0.5,0.5,17.8
493,Eric Paschall,3.2,1.3,0.3,0.2,9.5
306,Ersan Ilyasova,1.7,0.2,0.8,0.2,4.1
444,E'Twaun Moore,1.8,1.5,0.6,0.2,4.3
200,Evan Fournier,2.8,3.3,1.2,0.4,17.3
201,Evan Fournier,2.9,3.7,1,0.3,19.7
202,Evan Fournier,2.7,2,1.6,0.7,8.4
106,Facundo Campazzo,1.7,3.1,1.1,0.2,5.3
313,Frank Jackson,2,0.7,0.2,0,8.7
352,Frank Kaminsky,3.6,1.6,0.4,0.4,6.1
408,Frank Mason,3,3,0,0,6.3
465,Frank Ntilikina,1,0.6,0.6,0.1,3.1
631,Fred VanVleet,4.2,6.2,1.7,0.7,19.2
221,Freddie Gillespie,3.6,0.5,0.4,1,5.3
359,Furkan Korkmaz,2,1.4,0.9,0.2,9.5
633,Gabe Vincent,1.1,1.3,0.4,0,4.9
598,Garrett Temple,2.8,2.2,0.8,0.4,7.8
409,Garrison Mathews,1.5,0.5,0.5,0.1,5.7
120,Gary Clark,3.1,0.8,0.3,0.2,3.2
121,Gary Clark,3.2,0.9,0.3,0.2,3.4
122,Gary Clark,0.5,0,0,0,0
259,Gary Harris,2.1,1.9,0.8,0.3,10.3
260,Gary Harris,2.5,1.7,0.9,0.2,9.7
261,Gary Harris,1.4,2.2,0.6,0.3,11.4
500,Gary Payton,1.1,0.1,0.6,0.1,2.5
620,Gary Trent,2.5,1.4,1,0.2,15.2
621,Gary Trent,2.2,1.4,0.9,0.1,15
622,Gary Trent,3.4,1.4,1.2,0.2,15.9
279,George Hill,2,2.7,0.8,0.3,10.1
280,George Hill,2.1,3.1,0.9,0.1,11.8
281,George Hill,1.8,1.6,0.6,0.6,5.4
461,Georges Niang,2.5,0.7,0.3,0.1,6.1
17,Giannis Antetokounmpo,11.4,6,1.2,1.3,28.5
547,Glenn Robinson,2,0.9,0.2,0.1,5.3
56,Goga Bitadze,3.2,0.7,0.2,1.2,5.1
171,Goran Dragic,3.5,4.4,0.7,0.2,12.9
274,Gordon Hayward,5.9,4.1,1.2,0.3,19.6
160,Gorgui Dieng,3.9,1.1,0.7,0.5,6.7
161,Gorgui Dieng,4.5,1.3,0.8,0.6,7.9
162,Gorgui Dieng,2.3,0.6,0.3,0.1,2.9
541,Grant Riller,0,0.6,0.2,0,2.8
660,Grant Williams,2.8,1,0.6,0.4,4.4
9,Grayson Allen,3.3,2.1,1,0.2,11.1
