RK,PLAYER,TEAM,GP,MPG,FG%,FT%,3PM,RPG,APG,STPG,BLKPG,TOPG,PTS,ESPN
51,"Jrue Holiday, PG",MIL,48,31.9,0.506,0.81,1.9,4.5,5.7,1.8,0.5,2.1,17.2,33.2
52,"Kyle Lowry, PG",TOR,43,34.7,0.427,0.88,2.6,5.5,7.3,1,0.3,2.8,16.5,33
,"Jerami Grant, SF",DET,53,34.1,0.428,0.849,2.2,4.6,2.8,0.7,1.1,2,22.5,33
54,"Andre Drummond, C",LAL,35,28,0.479,0.616,0,12.6,2.3,1.6,1.1,3,15.7,32.7
,"John Wall, PG",HOU,40,32.2,0.404,0.749,2,3.2,6.9,1.1,0.8,3.5,20.6,32.7
56,"Michael Porter Jr., SF",DEN,51,31.2,0.543,0.776,2.6,7.6,1,0.6,1,1.1,18.5,32.4
57,"Deandre Ayton, C",PHO,61,30.8,0.625,0.764,0.1,10.7,1.4,0.6,1.1,1.6,15,32.1
58,"John Collins, PF",ATL,53,29.9,0.551,0.835,1.2,7.7,1.3,0.5,1,1.2,17.8,31.7
59,"LaMelo Ball, PG",CHA,41,28.6,0.451,0.789,2,5.9,6.1,1.6,0.3,2.8,15.9,31.6
60,"Dejounte Murray, PG",SAS,57,31.8,0.451,0.796,1,7.1,5.2,1.6,0.1,1.7,15.6,31.4
61,"Caris LeVert, SG",IND,36,30.9,0.434,0.778,1.6,4.5,4.8,1.5,0.5,1.9,18.7,31.3
62,"Victor Oladipo, SG",MIA,33,32.7,0.408,0.754,2.4,4.8,4.6,1.4,0.4,2.5,19.8,31.2
63,"Richaun Holmes, C",SAC,52,29.7,0.644,0.793,0,8.8,1.6,0.7,1.6,1.2,14.3,30.8
64,"D'Angelo Russell, PG",MIN,32,27.8,0.447,0.8,3,2.5,5.2,1,0.4,2.8,19.5,30.6
65,"Mike Conley, PG",UTH,49,29.8,0.446,0.853,2.7,3.4,6,1.4,0.2,2,16.4,30.2
,"Kemba Walker, PG",BOS,39,31.5,0.409,0.918,2.8,3.9,5,1.1,0.3,2.1,18.2,30.2
67,"Harrison Barnes, SF",SAC,58,36.2,0.497,0.83,1.7,6.6,3.5,0.7,0.2,1.6,16.1,29.7
68,"Darius Garland, PG",CLE,51,33.7,0.453,0.849,2,2.5,6.2,1.2,0.1,3,17.7,29.4
,"Jarrett Allen, C",CLE,52,29.1,0.642,0.718,0.1,9.8,1.6,0.5,1.5,1.5,13.2,29.4
70,"Malik Beasley, SG",MIN,37,32.8,0.44,0.85,3.5,4.4,2.4,0.8,0.2,1.6,19.6,29
71,"Andrew Wiggins, SF",GSW,61,33,0.471,0.697,2,4.8,2.3,1,1,1.8,18,28.6
72,"Al Horford, C",OKC,28,27.9,0.45,0.818,2,6.7,3.4,0.9,0.9,1,14.2,28.3
73,"Enes Kanter, C",POR,60,25.8,0.611,0.781,0,11.4,1.3,0.5,0.7,1.2,11.9,28.2
74,"Lonzo Ball, PG",NOR,47,31.3,0.422,0.78,3,4.2,5.7,1.4,0.6,2.1,14.1,28.1
75,"RJ Barrett, SG",NYK,62,34.6,0.446,0.744,1.5,5.7,2.9,0.7,0.3,2,17.5,27.8
76,"Dennis Schroder, PG",LAL,57,32.1,0.441,0.843,1.2,3.5,5.8,1.2,0.2,2.7,15.7,27.6
77,"Norman Powell, SF",POR,58,31.5,0.484,0.861,2.5,3,1.9,1.3,0.2,1.8,18.9,27.5
78,"OG Anunoby, SF",TOR,40,33.2,0.483,0.781,2.4,5.6,2,1.6,0.7,1.8,15.5,27.3
79,"Kevin Porter Jr., SG",HOU,21,31.6,0.421,0.746,1.7,3.8,6.2,0.8,0.3,3.4,15.5,27.1
,"Mason Plumlee, C",DET,55,26.8,0.613,0.669,0,9.3,3.6,0.8,0.9,1.9,10.3,27.1
,"Buddy Hield, SG",SAC,60,34.3,0.408,0.843,4,4.5,3.2,0.8,0.4,1.7,16.7,27.1
82,"De'Andre Hunter, SF",ATL,20,31.3,0.502,0.867,1.6,5.1,2.1,0.9,0.5,1.4,16,27
83,"Thaddeus Young, PF",CHI,57,24.1,0.58,0.628,0.2,6.2,4.2,1.1,0.6,2,12.1,26.9
84,"Thomas Bryant, C",WAS,10,27.1,0.648,0.667,0.9,6.1,1.5,0.4,0.8,1.1,14.3,26.8
85,"Evan Fournier, SG",BOS,32,29.5,0.446,0.798,2.6,2.7,3.4,1,0.4,1.9,17.5,26.7
,"Anthony Edwards, SF",MIN,62,31.5,0.4,0.784,2.3,4.5,2.7,1.2,0.4,2.1,18.3,26.7
87,"Chris Boucher, PF",TOR,59,24,0.519,0.787,1.5,6.7,1.1,0.6,1.9,0.8,13.6,26.5
,"Jaren Jackson Jr., PF",MEM,3,21,0.486,0.75,0.7,6,1,0.3,1.7,1,16,26.5
,"Myles Turner, C",IND,47,31,0.477,0.782,1.5,6.5,1,0.9,3.4,1.4,12.6,26.5
90,"Draymond Green, PF",GSW,53,30.9,0.422,0.779,0.5,6.8,8.8,1.6,0.8,3,6.6,26.3
91,"Marcus Smart, PG",BOS,41,32.6,0.411,0.796,2,3.4,5.5,1.5,0.5,1.8,13.6,26.1
92,"Bogdan Bogdanovic, SG",ATL,37,29,0.457,0.892,3,3.7,3.2,1,0.2,1.3,15.2,25.8
93,"Montrezl Harrell, C",LAL,60,24,0.621,0.718,0,6.6,1.1,0.7,0.7,1.1,14,25.7
,"Tyrese Haliburton, PG",SAC,55,30.1,0.47,0.846,2.1,3,5.2,1.3,0.5,1.5,12.8,25.7
95,"Jordan Clarkson, PG",UTH,57,26,0.418,0.924,3,4,2.3,0.9,0.2,1.7,17.4,25.6
,"Kyle Anderson, SF",MEM,58,27.2,0.464,0.785,1.3,6,3.5,1.2,0.8,1.2,12.2,25.6
97,"Coby White, PG",CHI,58,30.8,0.416,0.913,2.1,4.1,4.6,0.6,0.2,2.2,14.8,25.3
,"Kelly Oubre Jr., SG",GSW,54,30.8,0.443,0.704,1.6,6,1.4,1,0.8,1.3,15.5,25.3
99,"Derrick White, PG",SAS,36,29.6,0.411,0.851,2.3,3,3.5,0.7,1,1.3,15.4,25.2
100,"Tyler Herro, PG",MIA,48,30.7,0.427,0.809,1.9,4.9,3.4,0.7,0.4,1.9,14.9,25
101,"Aaron Gordon, PF",DEN,41,28.2,0.465,0.647,1.4,5.9,3.5,0.7,0.7,2.1,13.2,25
102,"Wendell Carter Jr., C",ORL,47,25.7,0.526,0.732,0.3,8.2,2,0.7,0.8,1.5,11.8,24.9
103,"Eric Gordon, SG",HOU,27,29.2,0.433,0.825,2.6,2.1,2.6,0.5,0.5,1.9,17.8,24.8
104,"Jusuf Nurkic, C",POR,25,23.3,0.493,0.627,0.4,8.3,3.4,1,1,2,10.2,24.7
105,"Devonte' Graham, PG",CHA,48,29.9,0.373,0.824,3.1,2.6,5.4,0.9,0.1,1.5,14.2,24.5
,"Mikal Bridges, SF",PHO,61,32.6,0.528,0.826,1.8,4.4,2.2,1,0.8,0.8,13.1,24.5
,"Kelly Olynyk, PF",HOU,60,28,0.481,0.838,1.8,6.6,2.3,1,0.6,1.6,12.3,24.5
108,"P.J. Washington, PF",CHA,53,29.7,0.438,0.764,1.6,6.4,2.6,1,1.3,2.1,12.3,24.4
109,"Joe Ingles, SG",UTH,56,27.5,0.508,0.847,2.8,3.7,4.4,0.7,0.2,1.6,12.2,24.3
110,"Marvin Bagley III, PF",SAC,37,25.7,0.502,0.56,0.9,7.4,0.9,0.5,0.5,1.3,13.9,23.9
111,"Joe Harris, SF",BKN,61,30.9,0.513,0.78,3.1,3.6,1.9,0.7,0.2,0.8,14.4,23.8
,"Dillon Brooks, SF",MEM,56,29.4,0.417,0.84,1.9,3,2.3,1.2,0.4,1.9,16.7,23.8
113,"Derrick Rose, PG",NYK,41,24.9,0.452,0.844,0.9,2.4,4.1,1,0.4,1.5,14,23.5
114,"Terrence Ross, SG",ORL,46,29.3,0.412,0.87,1.9,3.4,2.3,1,0.5,1.6,15.6,23.4
,"T.J. McConnell, PG",IND,57,25.6,0.561,0.658,0.2,3.6,6.6,1.8,0.4,1.9,8.1,23.4
,"LaMarcus Aldridge, C",BKN,26,25.9,0.473,0.872,1.2,4.5,1.9,0.4,1.1,1,13.5,23.4
117,"Miles Bridges, SF",CHA,60,28.5,0.505,0.851,1.7,6.1,2.1,0.7,0.7,1.6,11.9,23.3
118,"Kendrick Nunn, SG",MIA,47,29,0.468,0.923,2.2,3.2,2.8,1,0.3,1.4,14,23.2
119,"Keldon Johnson, SF",SAS,57,28.7,0.483,0.723,0.9,6.4,1.8,0.6,0.4,1.1,12.9,23.1
120,"Lauri Markkanen, PF",CHI,41,26.7,0.479,0.835,2.4,5.2,0.9,0.5,0.3,1,14.3,23
121,"Delon Wright, F",SAC,42,28.1,0.459,0.806,0.9,4.3,4.6,1.5,0.5,1.3,10.1,22.9
122,"Jakob Poeltl, C",SAS,59,26.3,0.629,0.491,0,8,1.9,0.6,1.8,1.3,8.5,22.7
,"Serge Ibaka, C",LAC,39,23.6,0.507,0.822,1,6.7,1.7,0.2,1.2,1.1,10.9,22.7
,"Markelle Fultz, PG",ORL,8,26.9,0.394,0.895,0.5,3.1,5.4,1,0.3,2.3,12.9,22.7
125,"Bojan Bogdanovic, SF",UTH,61,30.5,0.42,0.873,2.4,3.8,1.9,0.6,0,1.6,15.6,22.6
,"Bobby Portis, C",MIL,56,21.2,0.528,0.759,1.2,7,1.1,0.7,0.4,0.9,11.5,22.6
,"Robert Williams III, C",BOS,47,18.9,0.72,0.646,0,7,1.8,0.8,1.8,1,8.2,22.6
,"T.J. Warren, SF",IND,4,29.3,0.529,0.8,0,3.5,1.3,0.5,0,1,15.5,22.6
,"Goran Dragic, PG",MIA,41,26.5,0.433,0.817,1.6,3.5,4.4,0.7,0.2,2.4,12.9,22.6
130,"Jalen Brunson, PG",DAL,56,25.4,0.522,0.787,1.1,3.6,3.5,0.5,0,1.2,12.5,22.5
,"Kyle Kuzma, SF",LAL,58,28.5,0.438,0.675,2,6.4,1.7,0.5,0.6,1.7,12.9,22.5
132,"Darius Bazley, PF",OKC,45,31.2,0.404,0.718,1.5,7.4,1.6,0.6,0.5,2,13.2,22.4
,"Larry Nance Jr., PF",CLE,35,31.2,0.471,0.612,1.2,6.7,3.1,1.7,0.5,1.6,9.3,22.4
134,"Tim Hardaway Jr., SF",DAL,59,28.3,0.431,0.791,2.8,3.3,1.7,0.4,0.2,0.9,15.6,22.3
,"Kevin Huerter, SG",ATL,62,31.3,0.44,0.79,2.1,3.3,3.5,1.2,0.2,1.2,12.3,22.3
,"Rui Hachimura, PF",WAS,48,31.8,0.47,0.762,0.8,5.7,1.5,0.8,0.1,1.3,13.5,22.3
137,"Jae'Sean Tate, SF",HOU,61,29,0.514,0.718,0.8,5.3,2.3,1.3,0.6,1.2,11,22.2
138,"Will Barton, SF",DEN,56,31,0.426,0.785,1.8,4,3.2,0.9,0.4,1.7,12.7,22.1
,"Cole Anthony, PG",ORL,36,26.9,0.39,0.802,1.1,4.5,4.4,0.6,0.5,1.8,11.8,22.1
140,"Derrick Rose, F",DET,30,23.8,0.422,0.827,1,2.2,4.1,1.1,0.4,1.7,13.1,21.8
141,"Josh Hart, SG",NOR,47,28.7,0.439,0.775,1.3,8,2.3,0.8,0.3,1,9.2,21.6
142,"Brandon Clarke, PF",MEM,50,24.9,0.517,0.674,0.4,5.4,1.7,1,0.9,0.6,10.7,21.5
,"Delon Wright, G",SAC,52,26.8,0.457,0.805,0.9,4.1,4.2,1.5,0.4,1.1,9.6,21.5
144,"Mitchell Robinson, C",NYK,31,27.5,0.653,0.491,0,8.1,0.5,1.1,1.5,0.8,8.3,21.4
,"Marcus Morris Sr., SF",LAC,49,26.3,0.467,0.803,2.6,4.2,1,0.6,0.3,0.9,13.6,21.4
146,"Kevin Love, PF",CLE,18,23.1,0.399,0.805,2,6.4,2.3,0.5,0.1,1.4,11.7,21.3
,"Steven Adams, C",NOR,56,28,0.62,0.444,0,9,1.9,0.9,0.7,1.4,7.8,21.3
148,"Josh Jackson, SG",DET,56,25,0.427,0.731,1.3,4,2.2,0.9,0.7,2.2,13.7,21.2
,"Alec Burks, SG",NYK,44,25.8,0.414,0.865,2,4.5,2.2,0.7,0.3,1,12.6,21.2
,"Blake Griffin, F",DET,26,28.6,0.394,0.707,1.7,5.2,3.5,0.7,0.2,1.5,11.5,21.2
151,"Gary Trent Jr., SG",TOR,55,30.9,0.415,0.78,2.9,2.5,1.4,1,0.2,0.7,15.2,21.1
,"Donte DiVincenzo, SG",MIL,56,27.4,0.415,0.737,1.9,5.6,3.1,1.1,0.2,1.4,10.3,21.1
,"Brook Lopez, C",MIL,59,27.2,0.482,0.849,1.5,4.9,0.7,0.6,1.4,0.9,11.6,21.1
154,"Ivica Zubac, C",LAC,63,22.4,0.643,0.788,0,7.3,1.2,0.4,0.9,1.2,9.1,21
155,"Danilo Gallinari, PF",ATL,42,23.9,0.426,0.935,2.1,4,1.4,0.5,0.2,0.9,13.5,20.9
,"Josh Richardson, SG",DAL,48,31.8,0.429,0.905,1.5,3.5,2.8,0.9,0.4,1.4,12.3,20.9
157,"Robert Covington, PF",POR,58,32.2,0.407,0.83,1.9,6.7,1.7,1.5,1.2,1.1,8.7,20.8
,"Duncan Robinson, SG",MIA,62,32,0.436,0.836,3.5,3.5,1.8,0.5,0.2,1.2,13,20.8
159,"DeAndre Jordan, C",BKN,53,22.3,0.779,0.506,0,7.5,1.7,0.3,1.2,1.5,7.7,20.7
,"Blake Griffin, PF",BKN,35,26.9,0.403,0.73,1.5,4.9,3.3,0.7,0.3,1.5,11,20.7
161,"Ricky Rubio, PG",MIN,58,26.1,0.375,0.856,0.9,3.2,6.6,1.4,0.1,1.7,8.2,20.6
,"Eric Bledsoe, SG",NOR,60,29.8,0.411,0.722,1.8,3.4,3.7,0.8,0.3,1.6,11.9,20.6
,"Doug McDermott, SF",IND,54,24.2,0.524,0.831,1.6,3.6,1.3,0.3,0.1,0.8,13.1,20.6
164,"Luguentz Dort, SF",OKC,46,29.7,0.402,0.741,2.1,3.7,1.6,1,0.4,1.5,14,20.5
165,"Carmelo Anthony, PF",POR,59,24.9,0.411,0.878,1.9,3.2,1.5,0.7,0.6,1,13.5,20.3
,"Shake Milton, SG",PHI,53,23.8,0.448,0.834,1.1,2.3,2.9,0.6,0.3,1.8,13.3,20.3
167,"Cody Zeller, C",CHA,38,21,0.542,0.741,0.1,6.9,1.9,0.6,0.4,1.1,8.9,20.1
168,"Daniel Theis, C",CHI,58,24.3,0.548,0.67,0.7,5.3,1.7,0.6,0.9,1,9.6,20
169,"Naz Reid, C",MIN,60,19.2,0.519,0.73,0.8,4.5,1.1,0.5,1.1,1,11.1,19.9
170,"James Wiseman, C",GSW,39,21.4,0.519,0.628,0.3,5.8,0.7,0.3,0.9,1.5,11.5,19.8
171,"Dorian Finney-Smith, PF",DAL,49,32.3,0.458,0.806,2,5.6,1.6,0.9,0.4,0.6,9.6,19.7
172,"Malik Monk, SG",CHA,32,21.7,0.46,0.815,2.2,2.7,1.9,0.5,0.1,1.5,13.1,19.5
,"Elfrid Payton, PG",NYK,53,25.1,0.442,0.686,0.5,3.6,3.4,0.8,0.2,1.7,11.2,19.5
174,"Seth Curry, SG",PHI,48,28.8,0.448,0.896,2,2.1,2.8,0.8,0.2,1.2,12,19.4
,"De'Anthony Melton, SG",MEM,40,20.5,0.463,0.767,1.9,3.2,2.7,1.3,0.5,1.2,10.1,19.4
176,"Rudy Gay, SF",SAS,52,21.7,0.416,0.802,1.6,4.9,1.5,0.7,0.6,1,11.1,19.2
,"DeMarcus Cousins, C",LAC,34,18.3,0.396,0.711,1.3,7,2.1,0.7,0.6,1.7,9,19.2
178,"Hamidou Diallo, SG",DET,47,22.7,0.468,0.641,0.4,4.9,2,0.8,0.4,1.4,10.9,19.1
,"Moses Brown, C",OKC,32,20.5,0.546,0.625,0,8.3,0.2,0.7,1,1,8.5,19.1
,"Lou Williams, SG",ATL,56,22.3,0.418,0.869,1.1,2,3.4,0.8,0.1,1.6,12.2,19.1
181,"Royce O'Neale, PF",UTH,60,32,0.437,0.857,1.5,7.1,2.6,0.8,0.5,1.1,6.9,19
182,"Jae Crowder, PF",PHO,55,27.4,0.401,0.761,2.4,4.8,2.1,0.8,0.4,0.9,9.8,18.9
183,"Grayson Allen, SG",MEM,47,25.6,0.423,0.862,2.3,3.3,2.1,1,0.2,1,11.1,18.8
,"Reggie Jackson, PG",LAC,59,22.7,0.451,0.805,1.7,2.9,3.2,0.6,0.1,1.1,10.5,18.8
,"Ty Jerome, SG",OKC,28,24.3,0.432,0.741,2.1,2.8,3.6,0.6,0.1,1.4,10.3,18.8
186,"Isaiah Roby, C",OKC,50,23.6,0.493,0.72,0.6,5.7,1.9,0.9,0.7,1.8,9,18.7
,"Nicolas Batum, PF",LAC,59,28.2,0.457,0.846,1.7,4.9,2.3,1.1,0.5,0.8,8.2,18.7
,"Otto Porter Jr., SF",ORL,28,21.7,0.432,0.857,1.4,5.4,2,0.6,0.1,0.9,9.7,18.7
189,"Monte Morris, PG",DEN,44,26.2,0.477,0.789,1.1,2.2,3.2,0.7,0.3,0.7,10.3,18.6
190,"Danny Green, SF",PHI,59,28.3,0.42,0.771,2.6,3.7,1.7,1.3,0.8,1,9.6,18.5
191,"Tristan Thompson, C",BOS,46,23.3,0.53,0.613,0,8.1,1.1,0.4,0.5,1.1,7.9,18.4
,"Saddiq Bey, SF",DET,60,25.8,0.404,0.871,2.3,4.2,1.2,0.7,0.2,0.8,11.3,18.4
193,"Tomas Satoransky, SG",CHI,49,23.2,0.505,0.882,0.8,2.4,4.9,0.8,0.2,1.7,7.8,18.3
,"Bruce Brown, SF",BKN,57,22.4,0.546,0.736,0.3,5.2,1.6,0.9,0.4,0.9,8.8,18.3
,"Justin Holiday, SF",IND,60,30.9,0.404,0.783,2.4,3.7,1.6,1.2,0.5,0.8,10.5,18.3
196,"Jeremy Lamb, SG",IND,36,21.3,0.435,0.947,1.4,3.6,1.5,0.9,0.6,0.6,10.1,18.2
,"Jeff Green, PF",BKN,57,27,0.475,0.78,1.4,3.7,1.6,0.6,0.4,0.8,10.4,18.2
198,"Michael Carter-Williams, PG",ORL,31,25.8,0.389,0.613,0.5,4.5,4.2,0.8,0.5,2.2,8.8,18.1
,"Paul Millsap, PF",DEN,48,21.1,0.485,0.706,0.9,4.8,1.7,0.8,0.7,0.9,8.9,18.1
200,"Isaiah Stewart, C",DET,60,20.4,0.574,0.676,0.2,6.6,0.9,0.5,1.2,1,7.4,17.9
201,"George Hill, G",PHI,19,24.3,0.507,0.8,1.3,2,2.7,0.8,0.3,1,10.1,17.9
202,"Patty Mills, PG",SAS,57,25.5,0.423,0.913,2.5,1.7,2.5,0.6,0,0.9,11.5,17.8
203,"Davis Bertans, SF",WAS,46,25,0.41,0.89,3,3.1,0.9,0.6,0.3,0.6,11.6,17.7
,"Reggie Bullock, SF",NYK,55,28.9,0.443,0.897,2.4,3.3,1.5,0.8,0.2,0.7,10.5,17.7
205,"Immanuel Quickley, SG",NYK,57,19.6,0.394,0.892,1.9,2.2,2.1,0.5,0.2,0.9,11.6,17.4
,"Dwight Howard, C",PHI,59,17.4,0.586,0.572,0.1,8.4,0.8,0.5,0.9,1.7,6.8,17.4
