RK,PLAYER,TEAM,GP,MPG,FG%,FT%,3PM,RPG,APG,STPG,BLKPG,TOPG,PTS,ESPN
,"Cory Joseph, PG",DET,60,22.7,0.469,0.812,0.7,2.5,3.2,1,0.3,1.2,8,16.2
,"Kentavious Caldwell-Pope, SG",LAL,56,27.5,0.433,0.857,1.8,2.7,1.6,0.8,0.3,1,9.7,16.2
,"Danuel House Jr., SF",HOU,32,27,0.407,0.661,1.6,3.8,1.8,0.6,0.4,0.9,9.1,16.2
226,"Dewayne Dedmon, C",MIA,7,13,0.704,0.917,0,5.4,0.4,0.7,0.6,0.7,7,16.1
,"Robin Lopez, C",WAS,60,19.6,0.633,0.708,0.1,3.9,0.9,0.2,0.6,1.1,8.8,16.1
,"Desmond Bane, SG",MEM,56,22,0.474,0.837,1.7,3,1.7,0.6,0.2,0.9,9.1,16.1
,"Jordan Poole, SG",GSW,40,18.4,0.426,0.885,1.8,1.6,1.9,0.6,0.2,0.9,10.9,16.1
230,"Oshae Brissett, F",IND,9,17.8,0.532,0.762,1.1,4.3,0.6,0.4,0.6,0.2,8.4,16
,"Sterling Brown, SF",HOU,51,24.1,0.448,0.806,1.8,4.4,1.4,0.7,0.2,0.8,8.2,16
,"Maxi Kleber, PF",DAL,44,27.3,0.417,0.914,1.7,5.3,1.3,0.5,0.7,0.7,7,16
,"Mike Muscala, C",OKC,35,18.4,0.446,0.917,1.9,3.8,0.8,0.2,0.3,0.6,9.7,16
234,"Lonnie Walker IV, SG",SAS,48,24.8,0.413,0.794,1.6,2.5,1.6,0.5,0.3,1.1,10.7,15.9
,"Chuma Okeke, PF",ORL,44,25.1,0.41,0.763,1,4,2.2,1,0.5,0.8,7.5,15.9
236,"Willy Hernangomez, C",NOR,37,16,0.559,0.655,0,6.4,0.9,0.4,0.5,0.6,6.7,15.8
,"Nicolas Claxton, PF",BKN,25,18.5,0.583,0.5,0,5,1.1,0.8,1.2,0.6,6.6,15.8
238,"Yogi Ferrell, G",LAC,4,17.3,0.387,0.6,1.5,2,3.5,1,0.3,0.8,8.3,15.7
,"Talen Horton-Tucker, SG",LAL,56,19.6,0.447,0.796,0.6,2.7,2.5,0.9,0.4,1.4,8.7,15.7
,"JaVale McGee, C",DEN,38,14.7,0.524,0.644,0.1,5.1,0.9,0.5,1.1,1.4,7.6,15.7
241,"Cameron Payne, PG",PHO,50,17.3,0.468,0.857,1,2.3,3.6,0.6,0.2,1.1,7.3,15.6
242,"Gary Harris, SG",ORL,28,29.5,0.397,0.812,1.3,2.1,1.9,0.8,0.3,0.9,10.3,15.5
,"Dario Saric, PF",PHO,41,17.5,0.451,0.872,1,4,1.3,0.6,0.1,1.2,9.1,15.5
244,"JaMychal Green, PF",DEN,48,18.7,0.47,0.844,1.4,4.9,0.8,0.5,0.4,0.9,8.1,15.4
,"Tyus Jones, PG",MEM,58,18.4,0.438,0.917,0.7,2.1,3.9,1,0.1,0.7,6.8,15.4
,"Dwayne Bacon, SG",ORL,61,25.4,0.401,0.839,0.9,3,1.2,0.6,0.1,0.6,10.6,15.4
247,"Spencer Dinwiddie, PG",BKN,3,21.3,0.375,1,0.7,4.3,3,0.7,0.3,1.7,6.7,15.3
,"Xavier Tillman, C",MEM,49,19.1,0.552,0.66,0.4,4.4,1.3,0.8,0.6,0.7,6.8,15.3
,"Pat Connaughton, SG",MIL,57,23.1,0.451,0.743,1.5,4.8,1.2,0.7,0.3,0.5,7.1,15.3
250,"Ish Smith, PG",WAS,33,20.3,0.411,0.522,0.4,3.2,4.3,0.6,0.3,1,5.9,15.2
251,"Raul Neto, PG",WAS,55,21.1,0.458,0.857,1,2.3,2.1,1.1,0.1,0.8,8.3,15.1
252,"Eric Paschall, PF",GSW,39,17.3,0.491,0.719,0.4,3.2,1.3,0.3,0.2,1.1,9.5,15
253,"Wayne Ellington, SG",DET,44,21.9,0.445,0.8,2.5,1.9,1.4,0.4,0.2,0.7,9.6,14.9
,"Jaylen Nowell, SG",MIN,38,18.8,0.428,0.824,1.2,2.3,1.6,0.6,0.3,0.7,9.5,14.9
255,"Mo Bamba, C",ORL,37,13.5,0.486,0.659,0.8,4.8,0.6,0.2,1,0.6,7.2,14.8
256,"Luke Kennard, SG",LAC,56,19.9,0.477,0.828,1.6,2.7,1.7,0.4,0.2,0.8,8.4,14.7
,"Garrett Temple, SF",CHI,45,26.9,0.419,0.825,1.3,2.8,2.2,0.8,0.4,1,7.8,14.7
,"Dennis Smith Jr., PG",DET,23,18.3,0.4,0.731,0.8,2.4,3.3,1,0.6,1.1,6.7,14.7
259,"Kenyon Martin Jr., SF",HOU,34,20.4,0.508,0.714,0.4,4.6,0.6,0.6,0.9,0.6,6.9,14.6
,"PJ Dozier, SG",DEN,46,21.2,0.422,0.645,0.9,3.7,1.8,0.7,0.5,0.9,7.6,14.6
261,"Derrick Favors, C",UTH,57,15.4,0.618,0.74,0,5.5,0.7,0.5,1,0.6,5.4,14.5
,"Daniel Gafford, C",WAS,43,14,0.671,0.639,0,4.1,0.5,0.5,1.4,0.7,6.4,14.5
263,"Isaac Okoro, SF",CLE,56,31.8,0.425,0.721,0.8,2.8,1.8,1,0.4,1.3,8.4,14.4
,"James Johnson, PF",NOR,40,20.1,0.442,0.642,0.6,3.3,2,0.9,0.9,1.1,6.8,14.4
,"Aleksej Pokusevski, PF",OKC,38,23.5,0.326,0.781,1.2,4.6,2.1,0.5,1.1,2.1,7.5,14.4
,"Furkan Korkmaz, SG",PHI,48,19.8,0.408,0.734,1.9,2,1.4,0.9,0.2,0.9,9.5,14.4
267,"Taj Gibson, C",NYK,35,20.3,0.622,0.689,0.1,5.4,0.7,0.8,0.9,0.6,5.2,14.3
,"Derrick Jones Jr., SF",POR,53,23.8,0.478,0.64,0.8,3.8,0.8,0.7,1,0.5,7.1,14.3
,"Khem Birch, C",TOR,56,20.8,0.479,0.71,0.1,5.2,1.1,0.7,0.7,0.5,5.9,14.3
270,"Juan Toscano-Anderson, SF",GSW,42,18.6,0.586,0.739,0.6,4,2.4,0.6,0.4,1,5.3,14.2
271,"Marc Gasol, C",LAL,45,19.5,0.444,0.739,1,4.1,2.1,0.5,1.2,1.2,5.3,14.1
,"Armoni Brooks, G",HOU,9,23.6,0.377,0.4,2.3,4,1.4,0.4,0.1,1.2,8.3,14.1
,"Gorgui Dieng, C",SAS,29,14.9,0.512,0.846,0.9,3.9,1.1,0.7,0.5,0.8,6.7,14.1
274,"Jarred Vanderbilt, PF",MIN,54,17.1,0.582,0.564,0,5.4,1.2,0.9,0.7,0.9,5.1,14
,"Alex Len, C",WAS,53,15.4,0.639,0.602,0.2,3.9,0.8,0.3,1,1,6.7,14
,"Landry Shamet, SG",BKN,50,22,0.411,0.857,2.1,1.8,1.5,0.5,0.1,0.8,9.3,14
277,"Terance Mann, SG",LAC,60,19.3,0.484,0.819,0.6,3.7,1.7,0.5,0.2,0.7,6.8,13.9
278,"Jaden McDaniels, PF",MIN,55,23.5,0.443,0.585,1.1,3.7,1.1,0.5,1,0.7,6.8,13.8
,"Markieff Morris, PF",LAL,53,20.5,0.421,0.744,1.2,4.5,1.2,0.4,0.3,0.9,7.2,13.8
,"Bismack Biyombo, C",CHA,54,20.9,0.572,0.478,0,5.3,1.3,0.3,1.1,1,5.2,13.8
281,"Marquese Chriss, SF",SAS,2,13.5,0.357,0.5,0.5,6.5,1,0,1,1,6.5,13.7
282,"Deni Avdija, SF",WAS,54,23.3,0.417,0.644,1,4.9,1.2,0.6,0.3,0.6,6.3,13.5
283,"Kent Bazemore, SF",GSW,57,18.1,0.448,0.692,1.1,3.1,1.6,1,0.5,1.2,6.7,13.3
284,"D.J. Augustin, PG",HOU,51,19.2,0.385,0.932,1.3,1.6,3.3,0.5,0,1.1,7,13.2
,"Jordan McLaughlin, PG",MIN,42,19,0.396,0.75,0.6,2.1,4.1,1.1,0.1,1,5,13.2
,"Alex Caruso, SG",LAL,51,20.4,0.432,0.683,0.9,2.9,2.5,1.1,0.3,1.2,5.9,13.2
,"Payton Pritchard, PG",BOS,55,19.1,0.45,0.906,1.4,2.3,1.8,0.5,0.2,0.8,7.3,13.2
,"Naji Marshall, SF",NOR,21,19.4,0.363,0.648,0.7,3.7,2.6,0.7,0.3,0.8,5.9,13.2
289,"Willie Cauley-Stein, C",DAL,41,17.2,0.628,0.629,0,4.3,0.7,0.4,0.8,0.5,5.6,13
,"Svi Mykhailiuk, SG",OKC,57,19.9,0.409,0.756,1.5,2.5,1.6,0.7,0.2,1.4,7.9,13
,"Damion Lee, SG",GSW,57,18.9,0.467,0.909,1.4,3.2,1.3,0.7,0.1,0.5,6.5,13
292,"Drew Eubanks, PF",SAS,42,13.9,0.571,0.69,0,4.3,0.9,0.4,1,0.9,5.6,12.9
,"Justin Patton, C",HOU,13,19,0.414,0.75,0.7,3.8,1.1,0.9,1.1,0.3,5.4,12.9
,"Jaxson Hayes, C",NOR,49,14.9,0.647,0.765,0.1,3.9,0.5,0.4,0.5,0.6,6.3,12.9
295,"Bryn Forbes, SG",MIL,59,19.1,0.454,0.769,2.1,1.4,0.6,0.3,0,0.6,9.5,12.8
,"Frank Kaminsky, PF",PHO,36,14.4,0.462,0.605,0.8,3.6,1.6,0.4,0.4,0.5,6.1,12.8
,"Killian Hayes, PG",DET,17,22.8,0.339,0.889,0.5,2.2,4.4,1.1,0.4,2.8,5.7,12.8
298,"Freddie Gillespie, F",TOR,9,16.6,0.606,0.917,0,3.4,0.6,0.4,1.1,0.7,5.7,12.7
299,"Austin Rivers, G",DEN,25,21.4,0.428,0.722,1.2,2.3,2,0.5,0.1,1,7.2,12.6
,"Denzel Valentine, SG",CHI,54,17.5,0.379,0.929,1.3,3.4,1.6,0.5,0.1,0.7,6.8,12.6
301,"Denzel Valentine, SG",CHI,54,17.5,0.379,0.929,1.3,3.4,1.6,0.5,0.1,0.7,6.8,12.6
302,"Svi Mykhailiuk, F",DET,46,18.8,0.397,0.805,1.6,2.3,1.5,0.8,0.2,1.2,7.6,12.5
,"Armoni Brooks, G",HOU,10,22.3,0.366,0.4,2.1,3.6,1.3,0.4,0.1,1.2,7.5,12.5
,"Justise Winslow, PF",MEM,21,20.1,0.347,0.6,0.3,4.3,1.9,0.7,0.5,1.6,6.7,12.5
305,"Aron Baynes, C",TOR,50,18.2,0.431,0.73,0.4,5.1,0.9,0.3,0.4,0.9,5.8,12.4
,"Frank Jackson, PG",DET,33,16.8,0.465,0.792,1.5,2,0.7,0.2,0,0.8,8.7,12.4
,"Alize Johnson, PF",BKN,12,10.6,0.612,1,0.1,4.6,0.8,0.3,0.2,0.7,5.3,12.4
,"Andre Iguodala, SF",MIA,54,21.5,0.381,0.647,1,3.6,2.2,1,0.6,1,4.6,12.4
309,"Donta Hall, F",ORL,5,11.8,0.7,0.636,0,3.8,1.2,0.6,1.2,0.4,4.2,12.3
,"Isaiah Hartenstein, C",CLE,44,12.1,0.57,0.638,0,4,1.1,0.4,0.9,1,5.1,12.3
,"Kevon Looney, C",GSW,51,17.6,0.531,0.706,0.1,4.8,1.9,0.4,0.4,0.6,3.9,12.3
,"Rajon Rondo, PG",LAC,37,16,0.415,0.909,0.7,2.2,4,0.7,0.1,1.5,4.6,12.3
313,"Saben Lee, PG",DET,38,15.1,0.464,0.676,0.2,2.1,3.3,0.7,0.3,1.1,5.2,12.2
,"Al-Farouq Aminu, PF",CHI,20,19.6,0.391,0.842,0.4,5,1.5,0.9,0.5,1.4,4.8,12.2
,"Freddie Gillespie, F",TOR,10,16,0.6,0.917,0,3.6,0.5,0.4,1,0.6,5.3,12.2
316,"Facundo Campazzo, PG",DEN,55,20.1,0.375,0.845,1.1,1.7,3.1,1.1,0.2,1,5.3,12.1
,"Jeff Teague, PG",MIL,46,17.8,0.419,0.843,0.7,1.7,2.4,0.6,0.2,1.1,6.6,12.1
318,"Malachi Flynn, PG",TOR,37,17.1,0.368,0.816,0.9,2.1,2.6,0.8,0.1,0.8,6.1,12
,"Frank Mason III, G",ORL,4,19.8,0.375,0.714,0.5,3,3,0,0,1.3,6.3,12
320,"Tyrese Maxey, PG",PHI,52,14.7,0.455,0.86,0.4,1.5,1.7,0.4,0.2,0.7,7.5,11.9
321,"JJ Redick, SG",DAL,39,17.4,0.415,0.94,1.6,1.6,1.2,0.3,0.1,0.8,8.1,11.8
,"Nemanja Bjelica, F",MIA,35,15.3,0.446,0.723,0.6,3.3,1.7,0.3,0.1,0.9,6,11.8
323,"Edmond Sumner, PG",IND,48,16,0.518,0.795,0.7,1.8,0.9,0.6,0.2,1,7.3,11.6
324,"Justin Jackson, SF",MIL,33,16.5,0.406,0.857,1,2.2,1.5,0.5,0.1,0.9,7.2,11.5
,"Abdel Nader, SF",PHO,24,14.8,0.491,0.757,0.8,2.6,0.8,0.4,0.4,0.8,6.7,11.5
,"Damyean Dotson, SG",CLE,36,18.9,0.396,0.676,0.9,2.1,2.1,0.4,0.1,0.8,6.6,11.5
,"Terence Davis, G",SAC,50,15.5,0.42,0.806,1.4,2.1,1.1,0.5,0.2,0.9,7.2,11.5
328,"Kira Lewis Jr., PG",NOR,43,16.4,0.397,0.788,0.8,1.2,2.3,0.7,0.2,0.6,6.4,11.4
329,"Jalen McDaniels, PF",CHA,36,16.9,0.449,0.711,0.6,2.8,1,0.6,0.3,0.9,6.5,11.3
,"Dwight Powell, C",DAL,47,14.9,0.573,0.761,0.1,3.6,0.8,0.6,0.3,0.6,5.2,11.3
,"Goga Bitadze, C",IND,37,11.3,0.458,0.756,0.4,3.2,0.7,0.2,1.2,0.4,5.1,11.3
332,"Brad Wanamaker, PG",CHA,54,17,0.381,0.885,0.3,1.7,2.9,0.7,0.2,1.2,5.6,11.2
,"Avery Bradley, PG",HOU,25,22.2,0.375,0.8,1.3,2.1,1.7,0.8,0.1,1,6.6,11.2
,"DeAndre' Bembry, SG",TOR,41,17.5,0.526,0.689,0.2,2.6,1.9,0.8,0.3,1.3,4.9,11.2
335,"Tony Snell, SF",ATL,40,21,0.517,1,1.4,2.4,1.3,0.2,0.3,0.5,5.5,11.1
,"Ben McLemore, G",LAL,42,16.9,0.376,0.74,1.8,2,0.8,0.5,0.1,0.8,7.9,11.1
,"Torrey Craig, SF",PHO,39,14.3,0.483,0.75,0.7,3.6,0.9,0.6,0.4,0.5,4.7,11.1
338,"Dylan Windler, SG",CLE,31,16.5,0.438,0.778,0.8,3.5,1.1,0.6,0.4,1,5.2,11
339,"Josh Okogie, SF",MIN,50,21.1,0.401,0.798,0.5,2.7,1.1,1,0.5,0.7,5.6,10.9
340,"Dean Wade, PF",CLE,52,17.1,0.425,0.783,1.1,3,1.1,0.4,0.4,0.4,5.1,10.8
,"Robert Franks, F",ORL,7,14.4,0.464,0.923,0.7,2,0.7,0.4,0.4,0.3,6.1,10.8
,"Moritz Wagner, C",ORL,34,12.8,0.485,0.778,0.4,2.7,1.1,0.6,0.3,0.9,5.6,10.8
343,"P.J. Tucker, PF",MIL,42,27.1,0.372,0.783,0.8,4.2,1.2,0.8,0.5,0.8,4,10.7
344,"Timothe Luwawu-Cabarrot, SG",BKN,53,19,0.361,0.8,1.4,2.4,1.2,0.6,0.1,0.8,6.6,10.6
345,"Trey Burke, PG",DAL,51,14.9,0.437,0.86,1,0.9,1.4,0.6,0.1,0.5,6.7,10.5
,"Aaron Holiday, PG",IND,59,17,0.383,0.809,1,1.2,1.6,0.6,0.2,0.9,6.9,10.5
347,"Georges Niang, SF",UTH,61,14.7,0.43,1,1.5,2.5,0.7,0.3,0.1,0.7,6.1,10.2
,"Jaylen Hoard, F",OKC,11,16.5,0.449,0.72,0,3.5,0.8,0.6,0.2,1.3,5.6,10.2
,"Trey Lyles, PF",SAS,23,15.6,0.478,0.652,0.6,3.7,0.6,0.3,0,0.3,5,10.2
350,"Boban Marjanovic, C",DAL,26,8.8,0.505,0.786,0,4.2,0.3,0,0.2,0.4,5,10
351,"Isaiah Hartenstein, F",DEN,34,10.7,0.528,0.588,0.1,3.6,0.8,0.3,0.7,0.7,4.3,10
,"Chimezie Metu, PF",SAC,28,10.1,0.556,0.69,0.1,2.5,0.6,0.3,0.5,0.6,5.1,10
353,"Precious Achiuwa, PF",MIA,55,12.4,0.541,0.515,0,3.6,0.5,0.3,0.5,0.7,5,9.9
,"Cody Martin, SF",CHA,49,16.2,0.453,0.61,0.3,3,1.6,0.7,0.2,0.8,4.1,9.9
,"Matisse Thybulle, SG",PHI,58,20.1,0.413,0.5,0.7,2,0.9,1.6,1,0.5,3.8,9.9
,"Devin Vassell, SG",SAS,50,15.8,0.407,0.879,0.9,2.6,0.9,0.8,0.3,0.4,4.9,9.9
357,"Ed Davis, C",MIN,22,13.3,0.432,0.833,0,5.1,1,0.6,0.6,0.3,2.2,9.8
,"Chasson Randle, PG",ORL,30,19.4,0.388,0.778,1,1.7,1.9,0.5,0.1,1.2,5.7,9.8
359,"Rodney McGruder, SG",DET,16,12.1,0.529,0.75,0.7,1.4,1,0.5,0.1,0.4,5.7,9.7
,"Matthew Dellavedova, PG",CLE,13,17.2,0.25,1,0.3,1.8,4.5,0.3,0.1,0.5,2.8,9.7
361,"Dante Exum, PG",HOU,6,19.3,0.385,0.5,0.3,2.8,2.2,0.7,0.3,1.2,3.8,9.6
362,"Yuta Watanabe, SF",TOR,43,13.7,0.462,0.826,0.7,3.2,0.7,0.5,0.4,0.4,4.2,9.5
,"Caleb Martin, SF",CHA,45,15.1,0.379,0.612,0.6,2.8,1.2,0.7,0.2,0.6,4.9,9.5
364,"Tyler Johnson, SG",BKN,33,17.1,0.405,0.857,1.3,1.9,1,0.4,0,0.4,5.6,9.4
,"Dakota Mathias, G",PHI,8,15.4,0.396,0.333,1,0.9,1.6,0.1,0.4,0.1,6,9.4
366,"Solomon Hill, SF",ATL,61,21.5,0.361,0.735,1,3,1,0.8,0.2,0.6,4.6,9.3
,"Troy Brown Jr., F",CHI,34,15.4,0.431,0.714,0.6,3.1,0.9,0.3,0.2,0.6,4.7,9.3
,"Jarrett Culver, SF",MIN,34,14.7,0.411,0.604,0.4,3.1,0.7,0.5,0.3,0.8,5.3,9.3
369,"D.J. Wilson, PF",HOU,33,11.6,0.407,0.619,0.8,2.8,0.6,0.3,0.5,0.6,4.9,9.2
,"Maurice Harkless, SF",SAC,27,18.7,0.438,0.808,0.6,2.1,0.9,0.7,0.5,0.5,4.5,9.2
,"Grant Williams, PF",BOS,54,18.6,0.424,0.55,0.8,2.8,1,0.6,0.4,0.9,4.4,9.2
372,"Isaiah Thomas, G",NOR,3,16,0.333,1,1,1.3,1.7,0.3,0,2,7.7,9.1
,"Jake Layman, SF",MIN,42,14.3,0.497,0.703,0.5,1.5,0.7,0.7,0.4,0.6,5.3,9.1
,"Nassir Little, SF",POR,41,14.2,0.45,0.81,0.7,2.9,0.5,0.1,0.3,0.4,4.8,9.1
,"R.J. Hampton, PG",ORL,41,14.7,0.426,0.674,0.4,2.7,1,0.4,0.1,0.9,5.1,9.1
,"John Konchar, SG",MEM,35,13.4,0.457,0.833,0.4,2.8,1.1,0.9,0.2,0.5,3.7,9.1
,"Chris Chiozza, PG",BKN,22,10.5,0.352,0.765,0.6,1.1,3,0.3,0.3,0.7,4,9.1
378,"Jabari Parker, PF",BOS,9,11.4,0.545,0.75,0,2.8,0.8,0.1,0.4,0.8,4.3,9
379,"Garrison Mathews, G",WAS,55,17.2,0.411,0.897,1.2,1.5,0.5,0.5,0.1,0.2,5.7,8.9
,"Patrick Patterson, PF",LAC,34,14.4,0.443,0.75,1.1,1.9,0.6,0.4,0.2,0.3,5.1,8.9
381,"Brandon Goodwin, PG",ATL,43,13.2,0.38,0.659,0.7,1.5,2,0.3,0,0.7,5,8.8
,"Glenn Robinson III, F",SAC,23,16,0.424,0.913,0.7,2,0.9,0.2,0.1,0.5,5.3,8.8
,"Onyeka Okongwu, PF",ATL,40,11.2,0.61,0.622,0,3,0.2,0.4,0.6,0.5,3.9,8.8
384,"Nico Mannion, PG",GSW,25,12.3,0.343,0.8,0.8,1.4,2.3,0.6,0,1,4.3,8.6
,"Semi Ojeleye, PF",BOS,51,17.3,0.397,0.75,1.1,2.6,0.7,0.3,0,0.4,4.7,8.6
386,"Darius Miller, SF",OKC,18,10.9,0.458,1,0.9,1.3,1.2,0.7,0.3,0.4,4.1,8.5
,"Jerome Robinson, SG",WAS,17,17.9,0.295,0.8,0.6,2.2,1.5,0.7,0.4,1.1,4.9,8.5
388,"Jordan Nwora, SF",MIL,25,9.1,0.444,0.81,1,1.8,0.3,0.6,0.2,0.8,5.5,8.4
,"Mike Scott, PF",PHI,41,17.6,0.374,0.667,1.1,2.6,0.7,0.5,0.2,0.4,4.4,8.4
,"Mason Jones, SG",PHI,32,10.4,0.423,0.625,0.8,1.7,1.3,0.2,0,0.9,5.3,8.4
391,"E'Twaun Moore, SG",PHO,24,14.5,0.422,0.8,0.3,1.8,1.5,0.6,0.2,0.8,4.3,8.3
,"Jordan Bell, C",WAS,5,13.4,0.35,0,0,3.8,1,0.6,0.6,0.6,2.8,8.3
,"Jahlil Okafor, C",DET,19,11.1,0.597,0.8,0.1,2.1,0.6,0.2,0.2,0.5,4.4,8.3
394,"Thon Maker, F",CLE,8,9.5,0.556,0.909,0,2.3,0.5,0.3,0.5,0.4,3.8,8.1
395,"Harry Giles III, PF",POR,31,10.3,0.425,0.682,0.3,3.9,0.7,0.2,0.3,0.6,2.9,8
,"Stanley Johnson, SF",TOR,52,14.4,0.391,0.828,0.6,2.3,1.2,0.8,0.3,0.8,3.3,8
397,"Lamar Stevens, PF",CLE,40,12.5,0.456,0.725,0.1,2.4,0.6,0.4,0.3,0.6,4.1,7.9
,"Rondae Hollis-Jefferson, F",POR,6,11,0.417,0.643,0,2.5,1.3,0.3,0.5,0.3,3.2,7.9
,"Wesley Matthews, SG",LAL,50,19.3,0.335,0.857,1.1,1.5,0.9,0.6,0.3,0.4,4.5,7.9
,"Reggie Perry, PF",BKN,21,9.5,0.419,0.769,0.2,3.1,0.7,0.3,0.3,0.7,3.6,7.9
401,"Max Strus, SG",MIA,33,12.3,0.448,0.647,1.2,0.9,0.5,0.2,0,0.2,5.5,7.8
402,"Jordan Bone, G",ORL,14,14,0.426,0,0.7,1.7,1.3,0.1,0,0.2,4,7.7
,"Rodney Hood, SG",TOR,50,17.8,0.361,0.826,0.7,1.9,1,0.4,0.1,0.7,4.6,7.7
,"Obi Toppin, PF",NYK,52,11.1,0.489,0.727,0.4,2.3,0.5,0.3,0.2,0.4,4,7.7
405,"Jevon Carter, PG",PHO,49,11.1,0.417,0.5,0.9,1.4,1.1,0.4,0.2,0.2,3.8,7.5
,"Gabe Vincent, PG",MIA,43,13.8,0.362,0.87,0.9,1.1,1.3,0.4,0,0.7,4.9,7.5
,"Amida Brimah, C",IND,2,7,0.667,1,0,1.5,0,0,1.5,0,3,7.5
408,"Paul Watson, SG",TOR,27,11,0.463,0.625,1.1,1.7,0.6,0.2,0.1,0.3,4.1,7.4
409,"R.J. Hampton, F",DEN,30,11.5,0.434,0.682,0.3,2.4,0.7,0.3,0.1,0.6,3.8,7.3
,"Ersan Ilyasova, PF",UTH,11,8.9,0.417,1,1.1,1.7,0.2,0.8,0.2,0.4,4.1,7.3
,"Langston Galloway, SG",PHO,35,10.9,0.467,1,0.9,1,0.7,0.2,0,0.3,4.7,7.3
412,"Gary Clark, SF",DEN,37,17.3,0.305,0.8,0.8,3.1,0.8,0.3,0.2,0.5,3.2,7.2
,"Luke Kornet, C",BOS,25,9.8,0.417,0.5,0.5,2,0.7,0.1,0.8,0.2,3,7.2
,"Damian Jones, C",SAC,28,10.6,0.696,0.727,0,2.4,0.3,0.2,0.5,0.6,3.1,7.2
,"Chandler Hutchison, F",WAS,14,13.2,0.345,0.846,0.3,3.4,0.6,0.3,0,1,3.8,7.2
416,"Thanasis Antetokounmpo, SF",MIL,49,10.1,0.516,0.462,0.1,2.4,0.9,0.4,0.2,0.8,3.2,7.1
417,"Tyler Cook, F",DET,22,11.6,0.596,0.474,0,2.5,0.5,0.2,0,0.7,3.5,6.9
,"Tacko Fall, C",BOS,15,6.7,0.75,0.308,0,2.5,0.1,0.1,0.8,0.3,2.7,6.9
419,"JaKarr Sampson, SF",IND,24,10,0.456,0.6,0.1,2.5,0.1,0.1,0.5,0.5,3.8,6.8
,"Javonte Green, G",CHI,31,12.2,0.513,0.688,0.2,1.9,0.4,0.6,0.1,0.5,3.5,6.8
,"Kevin Knox II, SF",NYK,38,11.9,0.399,0.778,0.9,1.6,0.5,0.3,0.2,0.4,4.2,6.8
422,"Sekou Doumbouya, SF",DET,48,13.4,0.347,0.738,0.5,2.2,0.7,0.4,0.1,0.7,4,6.7
423,"Paul Reed, SF",PHI,19,6.6,0.519,0.25,0,2.2,0.4,0.3,0.5,0.5,3,6.6
,"Charlie Brown Jr., F",OKC,1,12,0.25,1,1,0,0,2,0,0,5,6.6
,"Ryan Arcidiacono, PG",CHI,36,10.8,0.394,0.75,0.5,1.6,1.3,0.2,0,0.2,3,6.6
,"Nicolo Melli, PF",DAL,36,12.4,0.324,0.8,0.4,2.7,1,0.4,0.1,0.3,2.6,6.6
427,"Mychal Mulder, SG",GSW,50,10.8,0.443,0.579,1.1,0.8,0.4,0.2,0.2,0.2,4.4,6.5
428,"Meyers Leonard, C",OKC,3,9.7,0.429,0.5,1,2.3,0.7,0,0,0.7,3.3,6.4
429,"Mamadi Diakite, PF",MIL,12,8.5,0.414,1,0.1,2.3,0.5,0.3,0.4,0.3,2.6,6.3
430,"Tremont Waters, PG",BOS,18,7.1,0.366,0.929,0.4,0.6,2,0.6,0,0.8,2.8,6.2
431,"Aaron Nesmith, SF",BOS,36,12.6,0.376,0.722,0.7,2.2,0.4,0.3,0.2,0.5,3.4,6.1
432,"Anthony Lamb, F",HOU,14,11.9,0.327,0.857,0.6,2.3,0.4,0.1,0.1,0.4,3.6,6
,"Luka Samanic, PF",SAS,27,9.2,0.43,0.5,0.3,2,0.5,0.3,0.2,0.6,3.3,6
434,"Nathan Knight, PF",ATL,28,8.1,0.367,0.822,0.2,2,0.2,0.3,0.3,0.5,3.6,5.9
,"Carsen Edwards, PG",BOS,25,8.5,0.453,0.778,0.5,0.9,0.4,0.2,0,0.2,3.9,5.9
436,"DaQuan Jeffries, F",HOU,24,13,0.387,0.857,0.5,1.8,0.4,0.3,0.3,0.3,3.1,5.8
,"Devin Cannady, G",ORL,8,9.3,0.393,0.857,0.8,0.6,0.1,0.6,0.1,0.3,4.3,5.8
438,"Sam Merrill, SG",MIL,27,7.4,0.484,1,0.7,1,0.7,0.2,0,0.4,3.1,5.7
439,"Zeke Nnaji, PF",DEN,39,9.2,0.484,0.8,0.5,1.5,0.2,0.2,0.1,0.2,3.1,5.5
440,"Bruno Caboclo, F",HOU,6,6,0.471,0.5,0,2.3,0.2,0,0.3,0.7,2.8,5.4
,"Skylar Mays, SG",ATL,28,7.4,0.384,0.88,0.4,0.9,0.8,0.5,0,0.3,3.1,5.4
,"Romeo Langford, SG",BOS,13,15.5,0.308,1,0.3,2.2,0.6,0.3,0.3,0.6,2.5,5.4
443,"Quinn Cook, PG",CLE,23,6.8,0.426,0.875,0.5,0.7,0.8,0.2,0,0.3,3.3,5.3
,"Frank Ntilikina, PG",NYK,24,10.9,0.369,0.5,0.8,1,0.6,0.6,0.1,0.4,3.1,5.3
,"Gary Payton II, G",GSW,10,4,0.769,0.75,0.2,1.1,0.1,0.6,0.1,0.1,2.5,5.3
446,"Wes Iwundu, SF",NOR,36,13.3,0.352,0.828,0.1,2.2,0.4,0.4,0.1,0.5,2.5,5.2
,"Anthony Gill, PF",WAS,21,6.9,0.514,0.667,0.2,2,0.3,0.3,0.1,0.3,2.2,5.2
